"","year_data","country","name","CD_inc","UC_inc","CD_change_inc","UC_change_inc","CD_prev","UC_prev","CD_change_prev","UC_change_prev","stage","status","decade","CD_inc_impute","UC_inc_impute","CD_prev_impute","UC_prev_impute","CD_change_inc_impute","UC_change_inc_impute","CD_change_prev_impute","UC_change_prev_impute","CD_inc_ind","UC_inc_ind","CD_prev_ind","UC_prev_ind","CD_change_inc_ind","UC_change_inc_ind","CD_change_prev_ind","UC_change_prev_ind"
"130_Barbados_Barbados_2002",2002,"Barbados","Barbados",0.658355778388667,1.82876605107963,-0.0025596347775626,-0.066768225695584,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",0.658355778388667,1.82876605107963,16.7,44.3,-0.0025596347775626,-0.066768225695584,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"132_Barbados_Barbados_2004",2004,"Barbados","Barbados",NA,NA,NA,NA,16.7,44.3,NA,NA,"unclassified","unlabelled","2000-2009",0.658355778388667,1.82876605107963,16.7,44.3,-0.0025596347775626,-0.066768225695584,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"133_Belgium_Brussels_1993",1993,"Belgium","Brussels",3.7,3,NA,NA,NA,NA,NA,NA,"stage2","labelled","1990-1999",3.7,3,0,0,-1.03479982536521,-0.689866550243475,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"134_Belgium_Liege_1993",1993,"Belgium","Liege",5.51893240194779,4.73051348738382,NA,NA,NA,NA,NA,NA,"stage2","labelled","1990-1999",5.51893240194779,4.73051348738382,0,0,-1.03479982536521,-0.689866550243475,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"135_Belgium_Liege_1994",1994,"Belgium","Liege",4.48413257658258,4.04064693714034,-1.03479982536521,-0.689866550243475,NA,NA,NA,NA,"stage2","labelled","1990-1999",4.48413257658258,4.04064693714034,0,0,-1.03479982536521,-0.689866550243475,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"136_Belgium_Liege_1995",1995,"Belgium","Liege",4.51699445325977,4.10635927817049,0.03286187667719,0.065712341030145,NA,NA,NA,NA,"stage2","labelled","1990-1999",4.51699445325977,4.10635927817049,0,0,0.03286187667719,0.065712341030145,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"137_Bosnia and Herzegovina_TUZLA_1995",1995,"Bosnia and Herzegovina","TUZLA",0.200749576851777,0.201499153703554,NA,NA,NA,NA,NA,NA,"stage2","labelled","1990-1999",0.200749576851777,0.201499153703554,28.2,43.1208188925607,0,1.61199322962844,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"138_Bosnia and Herzegovina_TUZLA_1996",1996,"Bosnia and Herzegovina","TUZLA",0.200749576851777,1.81349238333199,0,1.61199322962844,NA,NA,NA,NA,"stage2","labelled","1990-1999",0.200749576851777,1.81349238333199,28.2,43.1208188925607,0,1.61199322962844,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"139_Bosnia and Herzegovina_TUZLA_1997",1997,"Bosnia and Herzegovina","TUZLA",0.401499153703554,1.00749576851777,0.200749576851777,-0.80599661481422,NA,NA,NA,NA,"stage2","labelled","1990-1999",0.401499153703554,1.00749576851777,28.2,43.1208188925607,0.200749576851777,-0.80599661481422,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"140_Bosnia and Herzegovina_TUZLA_1998",1998,"Bosnia and Herzegovina","TUZLA",1.60599661481422,2.61948899814621,1.20449746111067,1.61199322962844,NA,NA,NA,NA,"stage2","labelled","1990-1999",1.60599661481422,2.61948899814621,28.2,43.1208188925607,1.20449746111067,1.61199322962844,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
