"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Israel","2000-2009",8.3,15.28169,8.3,10.95,13.4,14.090375,15.28169,12.447885
"Israel","2010-2019",4.6,12.73474,4.6,9.4524625,11.66667,11.91315,12.73474,11.66667
"Italy","1970-1979",1.61993163888484,3.8,1.61993164,2.11837214,2.45,2.64,3.8,2.28418607157855
"Italy","1980-1989",3.19,10.2,3.19,5.6,7.3,8.5,10.2,7.3
"Italy","1990-1999",5.3373879305825,15.1,5.33738793,7.94557341,8.8,10.82291667,15.1,8.8
"Italy","2000-2009",3.7,36.3,3.7,9.9375,11.87105263,14.66205357,36.3,11.871052631579
"Italy","2010-2019",3.5,47.64,3.5,7.76010638,13.9,16.136695,47.64,13.9
"Japan","1950-1959",0.01,0.038,0.01,0.02,0.0235,0.0305,0.038,0.0245
"Japan","1960-1969",0.02,0.2,0.02,0.04,0.0665,0.1045,0.2,0.06775
"Japan","1970-1979",0.24,0.858438874908839,0.24,0.29,0.36,0.406,0.85843887,0.35075
"Japan","1980-1989",0.26,2.04293472643869,0.26,0.3405,0.35433526,0.37741763,2.04293473,0.341
"Japan","1990-1999",1.91718833880755,3.37433909762354,1.91718834,1.93359417,1.95,2.66216955,3.3743391,1.95
"Japan","2000-2009",4.77007621018159,4.77007621018159,4.77007621,4.77007621,4.77007621,4.77007621,4.77007621,4.77007621018159
"Kuwait","1980-1989",1.70351283815947,3.29935585968547,1.70351284,2.34084098,2.57667947,2.85928578,3.29935586,2.57667946522345
"Kuwait","1990-1999",2.05466818276273,4.567658753918,2.05466818,2.25814326,2.67787028,3.02059988,4.56765875,2.67787027785457
"Lebanon","2010-2019",4.686,4.686,4.686,4.686,4.686,4.686,4.686,4.686
"Lithuania","2000-2009",5.54,7.93,5.54,6.0475,7.265,7.68,7.93,7.265
"Lithuania","2010-2019",6.13996449498792,10.8,6.13996449,6.31998225,6.5,8.65,10.8,8.55999112374698
"Macau","2010-2019",1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
"Malaysia","1980-1989",0.297930337531238,0.297930337531238,0.29793034,0.29793034,0.29793034,0.29793034,0.29793034,0.297930337531238
"Malaysia","1990-1999",0,0.398273418352539,0,0,0.17230239,0.32385723,0.39827342,0.172302390695671
"Malaysia","2000-2009",0.145453064477889,0.739483071753521,0.14545306,0.21873392,0.40888492,0.52323248,0.73948307,0.40888491677598
"Malaysia","2010-2019",0.32,0.923266251842285,0.32,0.46937339,0.70406008,0.70422535,0.92326625,0.58675805124103
"Mexico","2000-2009",0.04,0.16,0.04,0.055,0.07,0.115,0.16,0.07
"Mexico","2010-2019",0.09,0.16,0.09,0.1075,0.125,0.1425,0.16,0.125
"Moldova","2010-2019",3.5,3.9,3.5,3.68467672,3.86935343,3.88467672,3.9,3.79233835776042
"Nepal","2010-2019",0.0853333333333333,0.366666666666667,0.08533333,0.15566667,0.226,0.29633333,0.36666667,0.226
